period,quarter,source,target,value,signed,neg
2021-01-31,FY2021 Q4,Gross Profit,Operating Income,1507000000,1507000000,False
2021-01-31,FY2021 Q4,Gross Profit,Operating Expenses,1649000000,1649000000,False
2021-01-31,FY2021 Q4,Operating Income,Net Income,1457000000,1457000000,False
2021-01-31,FY2021 Q4,Operating Income,Tax & Other,50000000,50000000,False
2021-05-02,FY2022 Q1,Revenue,Gross Profit,3629000000,3629000000,False
2021-05-02,FY2022 Q1,Revenue,Cost of Revenue,2032000000,2032000000,False
2021-05-02,FY2022 Q1,Gross Profit,Operating Income,1956000000,1956000000,False
2021-05-02,FY2022 Q1,Gross Profit,Operating Expenses,1673000000,1673000000,False
2021-05-02,FY2022 Q1,Operating Income,Net Income,1912000000,1912000000,False
2021-05-02,FY2022 Q1,Operating Income,Tax & Other,44000000,44000000,False
2021-08-01,FY2022 Q2,Revenue,Gross Profit,4215000000,4215000000,False
2021-08-01,FY2022 Q2,Revenue,Cost of Revenue,2292000000,2292000000,False
2021-08-01,FY2022 Q2,Gross Profit,Operating Income,2444000000,2444000000,False
2021-08-01,FY2022 Q2,Gross Profit,Operating Expenses,1771000000,1771000000,False
2021-08-01,FY2022 Q2,Operating Income,Net Income,2374000000,2374000000,False
2021-08-01,FY2022 Q2,Operating Income,Tax & Other,70000000,70000000,False
2021-10-31,FY2022 Q3,Revenue,Gross Profit,4631000000,4631000000,False
2021-10-31,FY2022 Q3,Revenue,Cost of Revenue,2472000000,2472000000,False
2021-10-31,FY2022 Q3,Gross Profit,Operating Income,2671000000,2671000000,False
2021-10-31,FY2022 Q3,Gross Profit,Operating Expenses,1960000000,1960000000,False
2021-10-31,FY2022 Q3,Operating Income,Net Income,2464000000,2464000000,False
2021-10-31,FY2022 Q3,Operating Income,Tax & Other,207000000,207000000,False
2022-01-30,FY2022 Q4,Revenue,Gross Profit,4999000000,4999000000,False
2022-01-30,FY2022 Q4,Revenue,Cost of Revenue,2644000000,2644000000,False
2022-01-30,FY2022 Q4,Gross Profit,Operating Income,2970000000,2970000000,False
2022-01-30,FY2022 Q4,Gross Profit,Operating Expenses,2029000000,2029000000,False
2022-01-30,FY2022 Q4,Operating Income,Net Income,3003000000,3003000000,False
2022-01-30,FY2022 Q4,Operating Income,Tax & Other,33000000,-33000000,True
2022-05-01,FY2023 Q1,Revenue,Gross Profit,5431000000,5431000000,False
2022-05-01,FY2023 Q1,Revenue,Cost of Revenue,2857000000,2857000000,False
2022-05-01,FY2023 Q1,Gross Profit,Operating Income,1868000000,1868000000,False
2022-05-01,FY2023 Q1,Gross Profit,Operating Expenses,3563000000,3563000000,False
2022-05-01,FY2023 Q1,Operating Income,Net Income,1618000000,1618000000,False
2022-05-01,FY2023 Q1,Operating Income,Tax & Other,250000000,250000000,False
2022-07-31,FY2023 Q2,Revenue,Gross Profit,2915000000,2915000000,False
2022-07-31,FY2023 Q2,Revenue,Cost of Revenue,3789000000,3789000000,False
2022-07-31,FY2023 Q2,Gross Profit,Operating Income,499000000,499000000,False
2022-07-31,FY2023 Q2,Gross Profit,Operating Expenses,2416000000,2416000000,False
2022-07-31,FY2023 Q2,Operating Income,Net Income,656000000,656000000,False
2022-07-31,FY2023 Q2,Operating Income,Tax & Other,157000000,-157000000,True
2022-10-30,FY2023 Q3,Revenue,Gross Profit,3177000000,3177000000,False
2022-10-30,FY2023 Q3,Revenue,Cost of Revenue,2754000000,2754000000,False
2022-10-30,FY2023 Q3,Gross Profit,Operating Income,601000000,601000000,False
2022-10-30,FY2023 Q3,Gross Profit,Operating Expenses,2576000000,2576000000,False
2022-10-30,FY2023 Q3,Operating Income,Net Income,680000000,680000000,False
2022-10-30,FY2023 Q3,Operating Income,Tax & Other,79000000,-79000000,True
2023-01-29,FY2023 Q4,Revenue,Gross Profit,3833000000,3833000000,False
2023-01-29,FY2023 Q4,Revenue,Cost of Revenue,2218000000,2218000000,False
2023-01-29,FY2023 Q4,Gross Profit,Operating Income,1256000000,1256000000,False
